City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Itarema,BR,79.09,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
4,Lompoc,US,81.21,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
7,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
9,Kapaa,US,84.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
14,Touros,BR,76.1,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
15,Pemangkat,ID,79.09,overcast clouds,1.1667,108.9667,Ramah Kost KITA
19,Ponta Do Sol,PT,77.0,scattered clouds,32.6667,-17.1,Hotel do Campo
20,Ben Tre,VN,83.57,overcast clouds,10.2333,106.3833,bentre kiwi oasis hotel company ltd
21,Rincon,US,75.65,overcast clouds,32.296,-81.2354,Days Inn Rincon
23,Atuona,PF,77.97,few clouds,-9.8,-139.0333,Villa Enata
24,Dublin,US,85.01,clear sky,37.7021,-121.9358,Pleasanton Marriott
28,Torrijos,ES,80.83,clear sky,39.9819,-4.2835,Hotel La Salve
29,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
34,San Rafael Del Sur,NI,79.77,broken clouds,11.8485,-86.4384,Hospedaje El Chino
38,Coahuayana,MX,78.4,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
39,Hithadhoo,MV,80.24,overcast clouds,-0.6,73.0833,Scoop Guest House
42,San Patricio,US,83.12,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
43,Shingu,JP,86.99,heavy intensity rain,33.7333,135.9833,Shingu UI Hotel
65,Sinnamary,GF,77.2,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
68,Biak,ID,79.93,overcast clouds,-0.9131,122.8766,Penginapan Kim
72,Liku,ID,83.08,overcast clouds,-0.7275,119.8922,Wahyu
75,Prainha,BR,78.22,clear sky,-1.8,-53.48,Casa Rocha
78,Hami,CN,86.0,few clouds,42.8,93.45,Laoyutang Resort
80,Lorengau,PG,85.78,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
81,Benjamin Constant,BR,77.13,overcast clouds,-4.3831,-70.0311,CASA AVALIADA
82,Tibu,CO,76.98,few clouds,8.639,-72.7358,Hotel Yuliana's
83,Alugan,PH,87.42,overcast clouds,12.2188,125.4808,JM Lodge
84,Tomatlan,MX,77.11,overcast clouds,19.9333,-105.25,El Salvial
87,Hamilton,US,78.78,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
91,Manggar,ID,83.59,overcast clouds,-2.8833,108.2667,Guest Hotel
98,Ternate,ID,83.32,broken clouds,0.8,127.4,Grand Dafam Bela Ternate
108,Dingle,PH,86.18,light rain,10.9995,122.6711,SEGAYA PROPERTY
109,Port Antonio,JM,84.11,few clouds,18.18,-76.4612,The Trident Hotel
110,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
111,Sola,VU,78.33,clear sky,-13.8833,167.55,Leumerus Bungalows
112,Kampot,KH,78.85,overcast clouds,10.6167,104.1833,Two Moons Hotel
114,Patiya,BD,80.55,broken clouds,22.2931,91.9762,R Village
115,Kandrian,PG,80.38,light rain,-6.2167,149.55,Kandrian Station
120,Goundam,ML,81.5,overcast clouds,16.4145,-3.6708,
124,Fukue,JP,86.36,few clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
125,Nanakuli,US,87.75,broken clouds,21.3906,-158.1547,Camp Pālehua
128,Kavieng,PG,82.83,light rain,-2.5744,150.7967,Nusa Island Retreat
131,Kutum,SD,75.51,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
136,Srivardhan,IN,79.72,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
138,Kanker,IN,75.09,overcast clouds,20.2719,81.4931,STARiHOTEL Kanker
140,Porto Novo,BJ,78.62,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
142,Luba,GQ,75.09,light rain,3.4568,8.5547,
145,Kamaishi,JP,85.15,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
149,Hilo,US,82.13,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
151,Cabo San Lucas,MX,86.5,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
153,Wajima,JP,88.48,broken clouds,37.4,136.9,Wajiima Onsen Yashio
154,Ca Mau,VN,83.3,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
163,Nador,MA,75.45,clear sky,35.174,-2.9287,Hôtel La Giralda
167,Faanui,PF,79.16,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
174,Aden,YE,83.5,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
178,Oistins,BB,80.69,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
183,Pacific Grove,US,83.16,broken clouds,36.6177,-121.9166,Lovers Point Inn
184,Waddan,LY,86.77,clear sky,29.1614,16.139,محل الشريف محمد العايب
185,Victoria,HK,84.38,overcast clouds,22.2855,114.1577,Mini Hotel Central
187,Fortuna,US,76.19,scattered clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
198,Temple,US,83.41,clear sky,31.0982,-97.3428,La Quinta Inn by Wyndham Temple
201,Mecca,SA,84.97,scattered clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
202,Itoman,JP,86.4,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
205,Buchanan,LR,76.32,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
208,Varzea Grande,BR,75.07,clear sky,-15.6467,-56.1325,Hotel Express
211,Alta Floresta,BR,76.73,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
221,Bengkulu,ID,78.3,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
222,Champerico,GT,82.35,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
224,Laramie,US,80.98,clear sky,41.3114,-105.5911,Fairfield Inn & Suites by Marriott Laramie
230,Tecoanapa,MX,79.11,overcast clouds,16.5167,-98.75,Hotel Manglares
231,Evanston,US,80.98,broken clouds,42.0411,-87.6901,Hilton Garden Inn Chicago North Shore/Evanston
234,Nalut,LY,88.14,clear sky,30.3333,10.85,
237,Cayenne,GF,81.09,light rain,4.9333,-52.3333,Hôtel Le Dronmi
242,Muncar,ID,78.53,overcast clouds,-8.4333,114.3333,Zaky Homestay
244,Oriximina,BR,77.95,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
247,Hambantota,LK,79.14,scattered clouds,6.1241,81.1185,Bungalow 63
248,Kirakira,SB,83.21,clear sky,-10.4544,161.9205,SanBiz Lodge
250,Yarada,IN,84.52,mist,17.65,83.2667,Jeevan
257,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
258,Samarai,PG,79.2,overcast clouds,-10.6167,150.6667,Nuli Sapi
261,Padang,ID,80.65,overcast clouds,-0.9492,100.3543,Mercure Padang
263,Kununurra,AU,75.18,clear sky,-15.7667,128.7333,Hotel Kununurra
273,Ambulu,ID,78.24,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
274,Guerrero Negro,MX,75.94,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
276,Komsomolskiy,UZ,75.92,scattered clouds,40.4272,71.7189,Ikathouse
291,Georgetown,MY,84.13,thunderstorm,5.4112,100.3354,Cititel Penang
294,Bosaso,SO,88.99,light rain,11.2842,49.1816,Red Sea Hotel
297,Kyaikkami,MM,80.4,overcast clouds,16.08,97.5675,Happy Family Kyaikkami
298,Katsuura,JP,87.91,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
302,Jaguaribe,BR,80.87,broken clouds,-5.8906,-38.6219,Hotel Pinheiro
303,Kilifarevo,BG,77.22,light rain,42.9833,25.6333,Motel Bolyari
307,Boa Vista,BR,80.58,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
308,Porto Velho,BR,77.05,smoke,-8.7619,-63.9039,Hotel Central
309,Regina,CA,82.4,smoke,50.4501,-104.6178,Wingate by Wyndham Regina
310,Khasan,RU,78.66,overcast clouds,42.4308,130.6434,
312,Aksu,CN,78.69,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
314,Porlamar,VE,82.49,clear sky,10.958,-63.8491,Hotel Bella Vista
317,Labuhan,ID,80.64,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
320,Iracoubo,GF,76.91,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
323,Acapulco,MX,84.02,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
324,Half Moon Bay,US,81.97,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
326,Monrovia,LR,77.0,light rain,6.3005,-10.7969,Sunset Inn
330,Butaritari,KI,83.34,few clouds,3.0707,172.7902,Isles Sunset Lodge
332,Honiara,SB,85.03,few clouds,-9.4333,159.95,Heritage Park Hotel
338,Ishigaki,JP,87.93,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
343,Leona Vicario,MX,85.98,broken clouds,20.9667,-87.1917,Don Ros Cabañas y Restaurante
350,Marawi,PH,81.64,overcast clouds,7.9986,124.2928,Derogongan Residence
353,Panguna,PG,76.5,light rain,-6.3164,155.4848,
356,Sao Filipe,CV,77.86,overcast clouds,14.8961,-24.4956,Hotel Xaguate
357,Elat,IL,85.84,clear sky,29.5581,34.9482,Club Hotel Eilat
362,Awbari,LY,86.79,clear sky,26.5921,12.7805,فندق أوباري
363,Waingapu,ID,82.53,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
365,Sibolga,ID,79.57,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
367,Tarakan,ID,80.1,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
368,Alghero,IT,75.29,scattered clouds,40.5589,8.3181,Villa Las Tronas Hotel & Spa
370,Tuskegee,US,80.92,overcast clouds,32.424,-85.6916,Macon Motel
371,Bantogon,PH,83.95,overcast clouds,6.5333,124.0333,Kalamansig Greenhome
376,Kulhudhuffushi,MV,81.37,overcast clouds,6.6221,73.07,Hondaafushi Island Resort
379,Gat,IL,87.4,clear sky,31.61,34.7642,OlusHome
383,Bambanglipuro,ID,78.67,overcast clouds,-7.95,110.2833,Puri Brata
385,Freeport,US,75.24,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
386,Kuala Lumpur,MY,81.93,few clouds,3.1431,101.6865,Le Méridien Kuala Lumpur
387,Port Keats,AU,78.75,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
388,Araouane,ML,88.61,overcast clouds,18.9048,-3.5265,
390,Cabra,ES,80.91,clear sky,37.4725,-4.4421,MS Fuente Las Piedras
392,Palembang,ID,78.89,few clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
394,Cockburn Town,TC,82.99,clear sky,21.4612,-71.1419,Osprey Beach Hotel
395,Lang Son,VN,86.85,overcast clouds,21.8333,106.7333,Khai Nga Hotel
396,Media Luna,CU,81.27,broken clouds,20.1419,-77.435,Casa particular Pedro y Tamara
402,Korla,CN,82.63,overcast clouds,41.7597,86.1469,Gulisitan Hotel
404,Hirara,JP,89.87,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
406,Allada,BJ,77.76,overcast clouds,6.6655,2.1514,Royaume hotel d' Allada
408,Labuan,MY,86.36,few clouds,5.2767,115.2417,Tiara Labuan Hotel
412,Karpathos,GR,82.76,clear sky,35.507,27.2132,Alex
414,Lazaro Cardenas,MX,81.21,overcast clouds,17.9583,-102.2,quinta antigua
417,Tual,ID,80.29,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
422,Atambua,ID,80.38,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
425,Phan Thiet,VN,83.44,overcast clouds,10.9333,108.1,Hotel Saigon-PT
426,Carlagan,PH,86.95,overcast clouds,14.975,122.0456,Cabatagan Island
444,Sisophon,KH,78.58,overcast clouds,13.5859,102.9737,Pyramid Hotel
445,Tabou,CI,75.02,broken clouds,4.423,-7.3528,hotêl doufoulougou
447,Robertsport,LR,77.61,light rain,6.7533,-11.3686,Kwepunha Retreat
448,Yankton,US,84.45,clear sky,42.8711,-97.3973,"Holiday Inn Express & Suites Yankton, an IHG Hotel"
454,Vanimo,PG,85.93,few clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
455,Fairbanks,US,84.09,smoke,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
456,Uribia,CO,82.4,clear sky,11.7139,-72.266,Hotel Uribia
461,Sal Rei,CV,75.76,overcast clouds,16.1833,-22.9167,Marine Club Beach Resort
463,Kupang,ID,84.78,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
465,Ayorou,NE,78.22,overcast clouds,14.7308,0.9174,Hotel Amenokal
466,Tessalit,ML,82.26,overcast clouds,20.1986,1.0114,
470,Jacareacanga,BR,76.62,broken clouds,-6.2222,-57.7528,Casa do Ian😎
471,Kalianget,ID,82.65,broken clouds,-7.05,113.9333,Pesanggrahan Garam
473,Kuhdasht,IR,77.29,clear sky,33.535,47.6061,فروشگاه زنبیل
475,Pontianak,ID,76.98,few clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
476,Santa Rosalia,MX,88.0,clear sky,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
478,Shiyan,CN,81.59,overcast clouds,32.6475,110.7781,Fenghuang Garden Holiday Hotel
480,Port Blair,IN,82.29,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
481,Banjar,ID,80.46,scattered clouds,-8.19,114.9675,The Hamsa Resort
482,Iberia,US,80.67,clear sky,29.9502,-91.7507,back to back rv park
483,Kihei,US,83.46,light rain,20.785,-156.4656,Maui Sunset
487,Kutoarjo,ID,81.88,overcast clouds,-7.7169,109.9128,Massagus Hotel
489,Bubaque,GW,78.48,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
490,Kavaratti,IN,82.27,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
491,Mandvi,IN,81.18,overcast clouds,22.8333,69.3667,Jitendra Guest House
493,Merauke,ID,80.1,overcast clouds,-8.4667,140.3333,
494,Clayton,US,79.0,clear sky,33.5335,-84.3666,Royal Inn
496,Salalah,OM,78.89,light intensity drizzle,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
499,Le Vauclin,MQ,81.84,broken clouds,14.5452,-60.8388,Hôtel Cap Macabou
501,Sidoarjo,ID,84.16,few clouds,-7.4478,112.7183,Hotel Delta Sinar Mayang
505,Howard Springs,AU,78.82,overcast clouds,-12.497,131.047,buffalo beach hostel
509,Wenling,CN,87.91,overcast clouds,28.3669,121.36,Hanting Express Wenling Wanchang North Road
510,Mangrol,IN,81.25,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
511,Eyl,SO,76.64,scattered clouds,7.9803,49.8164,Amiin Hotel
515,Benghazi,LY,83.05,clear sky,32.1167,20.0667,Tibesti Hotel
520,Hollins,US,78.22,broken clouds,37.3413,-79.9431,"Country Inn & Suites by Radisson, Roanoke, VA"
521,Salamiyah,SY,77.85,clear sky,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
526,Ariquemes,BR,75.78,scattered clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
527,Milton,US,78.62,overcast clouds,34.1322,-84.3007,Children's Cottage Montessori
528,Ixtapa,MX,76.23,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
530,Jalu,LY,88.38,clear sky,29.0331,21.5482,صاحبة الفخامة
532,Pandan,PH,87.76,overcast clouds,14.0453,124.1694,Bonifacio Lodge
534,Shellbrook,CA,78.03,scattered clouds,53.2168,-106.4011,Shellbrook Hotel
535,Seoul,KR,89.17,scattered clouds,37.5683,126.9778,롯데호텔 서울
536,Abnub,EG,86.22,clear sky,27.2696,31.1511,Romany Adly Gad
540,Ankang,CN,79.43,overcast clouds,32.68,109.0172,安琪酒店
541,Kailua,US,87.78,overcast clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
544,Fuyu,CN,76.01,overcast clouds,45.1833,124.8167,Education Hostel
547,Marzuq,YE,81.0,overcast clouds,14.4,46.4667,
550,Honavar,IN,77.38,overcast clouds,14.2833,74.45,Hotel Sagar Residency
554,Tucurui,BR,80.64,scattered clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
556,Carmen,MX,84.24,broken clouds,18.6333,-91.8333,Hotel Lossandes
557,Fare,PF,78.89,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
559,Mahibadhoo,MV,81.18,overcast clouds,3.7833,72.9667,Omadhoo Inn
565,Anuradhapura,LK,78.51,overcast clouds,8.3565,80.4173,Nilketha Villa Eco Hotel
566,Pincher Creek,CA,81.05,clear sky,49.4833,-113.952,BLUE MOUNTAIN MOTEL
569,Machiques,VE,78.26,few clouds,10.0644,-72.545,hotel el markes
572,Srimushnam,IN,79.18,overcast clouds,11.4,79.4167,VEL HOUSE - LODGE
575,Pacifica,US,80.58,broken clouds,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
580,San Miguel,SV,83.86,thunderstorm,13.4833,-88.1833,Hotel Tropico Inn San Miguel
582,Lakatoro,VU,78.55,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
587,Uttaradit,TH,77.68,overcast clouds,17.6667,100.5,
588,Kidal,ML,79.66,overcast clouds,18.4411,1.4078,
589,Meulaboh,ID,77.85,overcast clouds,4.1363,96.1285,Kost Pria
590,Bontang,ID,80.53,light rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
600,Sabang,ID,83.23,broken clouds,5.8933,95.3214,Hotel Citra
607,Manuk Mangkaw,PH,84.85,overcast clouds,4.8,119.85,
611,Bireun,ID,80.44,overcast clouds,5.203,96.7009,Rumah Bp.AR. ISMAIL
616,San Jose,US,84.11,haze,37.3394,-121.895,The Westin San Jose
618,Columbus,US,79.63,broken clouds,39.9612,-82.9988,DoubleTree Suites by Hilton Hotel Columbus Downtown
619,Tamiahua,MX,82.51,overcast clouds,21.2667,-97.45,Mission Of The Sun Hotel
622,Namatanai,PG,81.77,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
628,Minab,IR,85.5,clear sky,27.1467,57.0801,Bam campground
630,Shieli,KZ,81.23,clear sky,44.1667,66.75,Gostinitsa Aybek Shieli
633,Rome,US,79.29,clear sky,34.257,-85.1647,La Quinta Inn & Suites by Wyndham Rome
634,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
638,Kahului,US,83.46,light rain,20.8947,-156.47,Maui Seaside Hotel
639,Indramayu,ID,82.81,broken clouds,-6.3264,108.32,Grand Trisula Hotel
640,Bang Saphan,TH,85.95,overcast clouds,11.2126,99.5117,Ladawan Boutique Hotel
648,Tura,IN,80.04,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
652,Tatawin,TN,79.68,clear sky,32.9297,10.4518,Sangho Privilege Tataouine
658,Nhulunbuy,AU,77.61,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
660,Yatou,CN,78.6,light rain,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
665,Port Arthur,CN,82.62,clear sky,38.8,121.2667,Friendship Hotel
666,Luis Correia,BR,79.36,scattered clouds,-2.8792,-41.6669,Hotel Amarração
667,Point Fortin,TT,81.01,clear sky,10.1833,-61.6833,Jus Les' Suites
668,Miyang,CN,75.96,few clouds,24.4042,103.4428,Huibinlou Hotel
671,Parrita,CR,82.53,overcast clouds,9.5201,-84.3225,Beso del Viento
673,Natal,BR,75.85,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
674,Ipilan,PH,87.4,overcast clouds,8.8431,117.9033,Brookes Inn
675,Kalmunai,LK,81.36,overcast clouds,7.4167,81.8167,VS Villa
677,Chiang Khong,TH,79.12,overcast clouds,20.2613,100.4046,Chiangkhong Green Inn Resident
679,Alofi,NU,78.69,scattered clouds,-19.0595,-169.9187,Taloa Heights
